county_fips,county_nm,county_pop
18143,"Scott County, Indiana",24657
18145,"Shelby County, Indiana",45231
18147,"Spencer County, Indiana",19910
18149,"Starke County, Indiana",23206
18151,"Steuben County, Indiana",34917
18153,"Sullivan County, Indiana",20757
18155,"Switzerland County, Indiana",10019
18157,"Tippecanoe County, Indiana",188792
18159,"Tipton County, Indiana",15256
18161,"Union County, Indiana",6973
18163,"Vanderburgh County, Indiana",179810
18165,"Vermillion County, Indiana",15417
18167,"Vigo County, Indiana",106153
18169,"Wabash County, Indiana",30670
18171,"Warren County, Indiana",8518
18173,"Warrick County, Indiana",65867
18175,"Washington County, Indiana",28205
18177,"Wayne County, Indiana",66127
18179,"Wells County, Indiana",28555
18181,"White County, Indiana",24917
18183,"Whitley County, Indiana",34742
19001,"Adair County, Iowa",7389
19003,"Adams County, Iowa",3544
19005,"Allamakee County, Iowa",14074
19007,"Appanoose County, Iowa",12119
19009,"Audubon County, Iowa",5534
19011,"Benton County, Iowa",25796
19013,"Black Hawk County, Iowa",130471
19015,"Boone County, Iowa",26590
19017,"Bremer County, Iowa",25307
19019,"Buchanan County, Iowa",20691
19021,"Buena Vista County, Iowa",20567
19023,"Butler County, Iowa",14172
19025,"Calhoun County, Iowa",9763
19027,"Carroll County, Iowa",20522
19029,"Cass County, Iowa",13130
19031,"Cedar County, Iowa",18302
19033,"Cerro Gordo County, Iowa",42406
19035,"Cherokee County, Iowa",11605
19037,"Chickasaw County, Iowa",11658
19039,"Clarke County, Iowa",9588
19041,"Clay County, Iowa",16511
19043,"Clayton County, Iowa",16969
19045,"Clinton County, Iowa",46158
19047,"Crawford County, Iowa",16013
19049,"Dallas County, Iowa",111092
19051,"Davis County, Iowa",9169
19053,"Decatur County, Iowa",7665
19055,"Delaware County, Iowa",17600
19057,"Des Moines County, Iowa",38253
19059,"Dickinson County, Iowa",18056
19061,"Dubuque County, Iowa",98887
19063,"Emmet County, Iowa",9229
19065,"Fayette County, Iowa",19210
19067,"Floyd County, Iowa",15326
19069,"Franklin County, Iowa",9875
19071,"Fremont County, Iowa",6458
19073,"Greene County, Iowa",8584
19075,"Grundy County, Iowa",12384
19077,"Guthrie County, Iowa",10722
19079,"Hamilton County, Iowa",14729
19081,"Hancock County, Iowa",10615
19083,"Hardin County, Iowa",16463
19085,"Harrison County, Iowa",14670
19087,"Henry County, Iowa",19547
19089,"Howard County, Iowa",9376
19091,"Humboldt County, Iowa",9500
19093,"Ida County, Iowa",6833
19095,"Iowa County, Iowa",16381
19097,"Jackson County, Iowa",19342
19099,"Jasper County, Iowa",37919
19101,"Jefferson County, Iowa",15440
19103,"Johnson County, Iowa",157528
19105,"Jones County, Iowa",20900
19107,"Keokuk County, Iowa",9914
19109,"Kossuth County, Iowa",14396
19111,"Lee County, Iowa",32565
19113,"Linn County, Iowa",228972
19115,"Louisa County, Iowa",10513
19117,"Lucas County, Iowa",8747
19119,"Lyon County, Iowa",12324
19121,"Madison County, Iowa",16971
19123,"Mahaska County, Iowa",21874
19125,"Marion County, Iowa",33770
19127,"Marshall County, Iowa",40014
19129,"Mills County, Iowa",14633
19131,"Mitchell County, Iowa",10518
19133,"Monona County, Iowa",8493
19135,"Monroe County, Iowa",7504
19137,"Montgomery County, Iowa",10139
19139,"Muscatine County, Iowa",42218
19141,"O'Brien County, Iowa",14012
19143,"Osceola County, Iowa",5978
19145,"Page County, Iowa",15014
19147,"Palo Alto County, Iowa",8810
19149,"Plymouth County, Iowa",25722
19151,"Pocahontas County, Iowa",6976
19153,"Polk County, Iowa",505255
19155,"Pottawattamie County, Iowa",93179
19157,"Poweshiek County, Iowa",18453
19159,"Ringgold County, Iowa",4642
19161,"Sac County, Iowa",9686
19163,"Scott County, Iowa",174270
19165,"Shelby County, Iowa",11806
19167,"Sioux County, Iowa",36246
19169,"Story County, Iowa",98566
19171,"Tama County, Iowa",16833
19173,"Taylor County, Iowa",5924
19175,"Union County, Iowa",11906
19177,"Van Buren County, Iowa",7266
19179,"Wapello County, Iowa",35166
19181,"Warren County, Iowa",55205
19183,"Washington County, Iowa",22560
19185,"Wayne County, Iowa",6557
19187,"Webster County, Iowa",36485
19189,"Winnebago County, Iowa",10571
19191,"Winneshiek County, Iowa",19815
19193,"Woodbury County, Iowa",105951
19195,"Worth County, Iowa",7297
19197,"Wright County, Iowa",12656
20001,"Allen County, Kansas",12412
20003,"Anderson County, Kansas",7838
20005,"Atchison County, Kansas",16016
20007,"Barber County, Kansas",4071
20009,"Barton County, Kansas",24899
20011,"Bourbon County, Kansas",14408
20013,"Brown County, Kansas",9250
20015,"Butler County, Kansas",68632
20017,"Chase County, Kansas",2579
20019,"Chautauqua County, Kansas",3347
20021,"Cherokee County, Kansas",19054
20023,"Cheyenne County, Kansas",2636
20025,"Clark County, Kansas",1847
20027,"Clay County, Kansas",8007
20029,"Cloud County, Kansas",8854
20031,"Coffey County, Kansas",8251
20033,"Comanche County, Kansas",1655
20035,"Cowley County, Kansas",34157
20037,"Crawford County, Kansas",38764
20039,"Decatur County, Kansas",2712
20041,"Dickinson County, Kansas",18445
20043,"Doniphan County, Kansas",7493
20045,"Douglas County, Kansas",120553
20047,"Edwards County, Kansas",2733
20049,"Elk County, Kansas",2467
20051,"Ellis County, Kansas",28810
20053,"Ellsworth County, Kansas",6357
20055,"Finney County, Kansas",37466
20057,"Ford County, Kansas",33980
20059,"Franklin County, Kansas",26125
20061,"Geary County, Kansas",35047
20063,"Gove County, Kansas",2735
20065,"Graham County, Kansas",2376
20067,"Grant County, Kansas",7147
20069,"Gray County, Kansas",5743
20071,"Greeley County, Kansas",1181
20073,"Greenwood County, Kansas",5870
20075,"Hamilton County, Kansas",2437
20077,"Harper County, Kansas",5435
20079,"Harvey County, Kansas",33504
20081,"Haskell County, Kansas",3630
20083,"Hodgeman County, Kansas",1655
20085,"Jackson County, Kansas",13368
20087,"Jefferson County, Kansas",18327
20089,"Jewell County, Kansas",2847
20091,"Johnson County, Kansas",622237
20093,"Kearny County, Kansas",3823
20095,"Kingman County, Kansas",7066
20097,"Kiowa County, Kansas",2374
20099,"Labette County, Kansas",19728
20101,"Lane County, Kansas",1529
20103,"Leavenworth County, Kansas",83518
20105,"Lincoln County, Kansas",2920
20107,"Linn County, Kansas",9860
20109,"Logan County, Kansas",2665
20111,"Lyon County, Kansas",32172
20113,"McPherson County, Kansas",30091
20115,"Marion County, Kansas",11690
20117,"Marshall County, Kansas",9933
20119,"Meade County, Kansas",3911
20121,"Miami County, Kansas",35320
20123,"Mitchell County, Kansas",5719
20125,"Montgomery County, Kansas",30568
20127,"Morris County, Kansas",5334
20129,"Morton County, Kansas",2580
20131,"Nemaha County, Kansas",10114
20133,"Neosho County, Kansas",15420
20135,"Ness County, Kansas",2618
20137,"Norton County, Kansas",5330
20139,"Osage County, Kansas",15824
20141,"Osborne County, Kansas",3427
20143,"Ottawa County, Kansas",5818
20145,"Pawnee County, Kansas",6126
20147,"Phillips County, Kansas",4761
20149,"Pottawatomie County, Kansas",26382
20151,"Pratt County, Kansas",9082
20153,"Rawlins County, Kansas",2463
20155,"Reno County, Kansas",61497
20157,"Republic County, Kansas",4627
20159,"Rice County, Kansas",9260
20161,"Riley County, Kansas",71402
20163,"Rooks County, Kansas",4778
20165,"Rush County, Kansas",2830
20167,"Russell County, Kansas",6723
20169,"Saline County, Kansas",53098
20171,"Scott County, Kansas",4922
20173,"Sedgwick County, Kansas",528469
20175,"Seward County, Kansas",21067
20177,"Shawnee County, Kansas",177746
20179,"Sheridan County, Kansas",2423
20181,"Sherman County, Kansas",5844
20183,"Smith County, Kansas",3590
20185,"Stafford County, Kansas",3909
20187,"Stanton County, Kansas",1901
20189,"Stevens County, Kansas",5077
20191,"Sumner County, Kansas",22334
20193,"Thomas County, Kansas",7865
20195,"Trego County, Kansas",2731
20197,"Wabaunsee County, Kansas",7057
20199,"Wallace County, Kansas",1509
20201,"Washington County, Kansas",5504
20203,"Wichita County, Kansas",2082
20205,"Wilson County, Kansas",8382
20207,"Woodson County, Kansas",3115
20209,"Wyandotte County, Kansas",165281
21001,"Adair County, Kentucky",19264
21003,"Allen County, Kentucky",21788
21005,"Anderson County, Kentucky",24613
21007,"Ballard County, Kentucky",7582
21009,"Barren County, Kentucky",45008
21011,"Bath County, Kentucky",12975
21013,"Bell County, Kentucky",23317
21015,"Boone County, Kentucky",140496
21017,"Bourbon County, Kentucky",20134
21019,"Boyd County, Kentucky",47826
21021,"Boyle County, Kentucky",30988
21023,"Bracken County, Kentucky",8426
21025,"Breathitt County, Kentucky",12953
21027,"Breckinridge County, Kentucky",21124
21029,"Bullitt County, Kentucky",84863
21031,"Butler County, Kentucky",12375
21033,"Caldwell County, Kentucky",12551
21035,"Calloway County, Kentucky",38280
21037,"Campbell County, Kentucky",93702
21039,"Carlisle County, Kentucky",4704
21041,"Carroll County, Kentucky",10987
21043,"Carter County, Kentucky",26366
21045,"Casey County, Kentucky",15918
21047,"Christian County, Kentucky",72032
21049,"Clark County, Kentucky",37304
21051,"Clay County, Kentucky",19648
21053,"Clinton County, Kentucky",9148
21055,"Crittenden County, Kentucky",8974
21057,"Cumberland County, Kentucky",6000
21059,"Daviess County, Kentucky",103458
21061,"Edmonson County, Kentucky",12448
21063,"Elliott County, Kentucky",7245
21065,"Estill County, Kentucky",13936
21067,"Fayette County, Kentucky",320154
21069,"Fleming County, Kentucky",15442
21071,"Floyd County, Kentucky",34423
21073,"Franklin County, Kentucky",51644
21075,"Fulton County, Kentucky",6338
21077,"Gallatin County, Kentucky",8792
21079,"Garrard County, Kentucky",17829
21081,"Grant County, Kentucky",25619
21083,"Graves County, Kentucky",36461
21085,"Grayson County, Kentucky",26825
21087,"Green County, Kentucky",11468
21089,"Greenup County, Kentucky",35221
21091,"Hancock County, Kentucky",8920
21093,"Hardin County, Kentucky",112273
21095,"Harlan County, Kentucky",25324
21097,"Harrison County, Kentucky",19415
21099,"Hart County, Kentucky",19724
21101,"Henderson County, Kentucky",44119
21103,"Henry County, Kentucky",15973
21105,"Hickman County, Kentucky",4447
21107,"Hopkins County, Kentucky",44929
21109,"Jackson County, Kentucky",13104
21111,"Jefferson County, Kentucky",772144
21113,"Jessamine County, Kentucky",55017
21115,"Johnson County, Kentucky",22116
21117,"Kenton County, Kentucky",171321
21119,"Knott County, Kentucky",13659
21121,"Knox County, Kentucky",29794
21123,"Larue County, Kentucky",15303
21125,"Laurel County, Kentucky",63296
21127,"Lawrence County, Kentucky",16000
21129,"Lee County, Kentucky",7293
21131,"Leslie County, Kentucky",9864
21133,"Letcher County, Kentucky",20423
21135,"Lewis County, Kentucky",12973
21137,"Lincoln County, Kentucky",24776
21139,"Livingston County, Kentucky",8892
21141,"Logan County, Kentucky",28283
21143,"Lyon County, Kentucky",9187
21145,"McCracken County, Kentucky",67428
21147,"McCreary County, Kentucky",17050
21149,"McLean County, Kentucky",9054
21151,"Madison County, Kentucky",96735
21153,"Magoffin County, Kentucky",11228
21155,"Marion County, Kentucky",19834
21157,"Marshall County, Kentucky",31744
21159,"Martin County, Kentucky",10928
21161,"Mason County, Kentucky",16841
21163,"Meade County, Kentucky",30131
21165,"Menifee County, Kentucky",6286
21167,"Mercer County, Kentucky",23097
21169,"Metcalfe County, Kentucky",10482
21171,"Monroe County, Kentucky",11306
21173,"Montgomery County, Kentucky",28527
21175,"Morgan County, Kentucky",14283
21177,"Muhlenberg County, Kentucky",30568
21179,"Nelson County, Kentucky",47730
21181,"Nicholas County, Kentucky",7686
21183,"Ohio County, Kentucky",23626
21185,"Oldham County, Kentucky",70183
21187,"Owen County, Kentucky",11313
21189,"Owsley County, Kentucky",4001
21191,"Pendleton County, Kentucky",14810
21193,"Perry County, Kentucky",27133
21195,"Pike County, Kentucky",55973
21197,"Powell County, Kentucky",12972
21199,"Pulaski County, Kentucky",66191
21201,"Robertson County, Kentucky",2313
21203,"Rockcastle County, Kentucky",16190
21205,"Rowan County, Kentucky",24409
21207,"Russell County, Kentucky",18279
21209,"Scott County, Kentucky",60168
21211,"Shelby County, Kentucky",49515
21213,"Simpson County, Kentucky",20195
21215,"Spencer County, Kentucky",20531
21217,"Taylor County, Kentucky",26443
21219,"Todd County, Kentucky",12494
21221,"Trigg County, Kentucky",14369
21223,"Trimble County, Kentucky",8607
21225,"Union County, Kentucky",13106
21227,"Warren County, Kentucky",142229
21229,"Washington County, Kentucky",12267
21231,"Wayne County, Kentucky",19580
21233,"Webster County, Kentucky",12726
21235,"Whitley County, Kentucky",36825
21237,"Wolfe County, Kentucky",6282
21239,"Woodford County, Kentucky",27268
22001,"Acadia Parish, Louisiana",56489
22003,"Allen Parish, Louisiana",22112
22005,"Ascension Parish, Louisiana",131632
22007,"Assumption Parish, Louisiana",20160
22009,"Avoyelles Parish, Louisiana",38408
22011,"Beauregard Parish, Louisiana",36827
22013,"Bienville Parish, Louisiana",12366
22015,"Bossier Parish, Louisiana",129795
22017,"Caddo Parish, Louisiana",226386
22019,"Calcasieu Parish, Louisiana",203761
22021,"Caldwell Parish, Louisiana",9389
22023,"Cameron Parish, Louisiana",4768
22025,"Catahoula Parish, Louisiana",8414
22027,"Claiborne Parish, Louisiana",13670
22029,"Concordia Parish, Louisiana",17688
22031,"De Soto Parish, Louisiana",27114
22033,"East Baton Rouge Parish, Louisiana",448467
22035,"East Carroll Parish, Louisiana",6829
22037,"East Feliciana Parish, Louisiana",19229
22039,"Evangeline Parish, Louisiana",31754
22041,"Franklin Parish, Louisiana",19285
22043,"Grant Parish, Louisiana",21911
22045,"Iberia Parish, Louisiana",67659
22047,"Iberville Parish, Louisiana",29617
22049,"Jackson Parish, Louisiana",14746
22051,"Jefferson Parish, Louisiana",421777
22053,"Jefferson Davis Parish, Louisiana",31553
22055,"Lafayette Parish, Louisiana",249750
22057,"Lafourche Parish, Louisiana",95056
22059,"LaSalle Parish, Louisiana",14800
22061,"Lincoln Parish, Louisiana",47962
22063,"Livingston Parish, Louisiana",150145
22065,"Madison Parish, Louisiana",9246
22067,"Morehouse Parish, Louisiana",23955
22069,"Natchitoches Parish, Louisiana",36291
22071,"Orleans Parish, Louisiana",364136
22073,"Ouachita Parish, Louisiana",157568
22075,"Plaquemines Parish, Louisiana",22386
22077,"Pointe Coupee Parish, Louisiana",20000
22079,"Rapides Parish, Louisiana",126260
22081,"Red River Parish, Louisiana",7356
22083,"Richland Parish, Louisiana",19712
22085,"Sabine Parish, Louisiana",21906
22087,"St. Bernard Parish, Louisiana",44463
22089,"St. Charles Parish, Louisiana",50620
22091,"St. Helena Parish, Louisiana",10774
22093,"St. James Parish, Louisiana",19191
22095,"St. John the Baptist Parish, Louisiana",39592
22097,"St. Landry Parish, Louisiana",81464
22099,"St. Martin Parish, Louisiana",51057
22101,"St. Mary Parish, Louisiana",47055
22103,"St. Tammany Parish, Louisiana",275583
22105,"Tangipahoa Parish, Louisiana",138064
22107,"Tensas Parish, Louisiana",3764
22109,"Terrebonne Parish, Louisiana",103616
22111,"Union Parish, Louisiana",20650
22113,"Vermilion Parish, Louisiana",56992
22115,"Vernon Parish, Louisiana",46250
22117,"Washington Parish, Louisiana",44865
22119,"Webster Parish, Louisiana",35238
22121,"West Baton Rouge Parish, Louisiana",28266
22123,"West Carroll Parish, Louisiana",9323
22125,"West Feliciana Parish, Louisiana",15371
22127,"Winn Parish, Louisiana",13216
23001,"Androscoggin County, Maine",113765
23003,"Aroostook County, Maine",67351
23005,"Cumberland County, Maine",310230
23007,"Franklin County, Maine",30828
23009,"Hancock County, Maine",56526
23011,"Kennebec County, Maine",127259
23013,"Knox County, Maine",40977
23015,"Lincoln County, Maine",36507
23017,"Oxford County, Maine",59905
23019,"Penobscot County, Maine",155312
23021,"Piscataquis County, Maine",17486
23023,"Sagadahoc County, Maine",37513
23025,"Somerset County, Maine",51302
23027,"Waldo County, Maine",40620
23029,"Washington County, Maine",31555
23031,"York County, Maine",218586
24001,"Allegany County, Maryland",67273
24003,"Anne Arundel County, Maryland",594582
24005,"Baltimore County, Maryland",844703
24009,"Calvert County, Maryland",94728
24011,"Caroline County, Maryland",33593
24013,"Carroll County, Maryland",176639
24015,"Cecil County, Maryland",105672
24017,"Charles County, Maryland",171973
24019,"Dorchester County, Maryland",32879
24021,"Frederick County, Maryland",293391
24023,"Garrett County, Maryland",28423
24025,"Harford County, Maryland",264644
24027,"Howard County, Maryland",336001
24029,"Kent County, Maryland",19303
24031,"Montgomery County, Maryland",1058474
24033,"Prince George's County, Maryland",947430
24035,"Queen Anne's County, Maryland",52508
24037,"St. Mary's County, Maryland",115281
24039,"Somerset County, Maryland",24910
24041,"Talbot County, Maryland",37823
24043,"Washington County, Maryland",155813
24045,"Wicomico County, Maryland",104800
24047,"Worcester County, Maryland",54171
24510,"Baltimore city, Maryland",565239
25001,"Barnstable County, Massachusetts",231735
25003,"Berkshire County, Massachusetts",126818
25005,"Bristol County, Massachusetts",581841
25007,"Dukes County, Massachusetts",20819
25009,"Essex County, Massachusetts",810089
25011,"Franklin County, Massachusetts",70836
25013,"Hampden County, Massachusetts",460291
25015,"Hampshire County, Massachusetts",162502
25017,"Middlesex County, Massachusetts",1623952
25019,"Nantucket County, Massachusetts",14444
25021,"Norfolk County, Massachusetts",727473
25023,"Plymouth County, Massachusetts",535308
25025,"Suffolk County, Massachusetts",768425
25027,"Worcester County, Massachusetts",866866
26001,"Alcona County, Michigan",10489
26003,"Alger County, Michigan",8757
26005,"Allegan County, Michigan",121939
26007,"Alpena County, Michigan",28904
26009,"Antrim County, Michigan",24409
26011,"Arenac County, Michigan",15145
26013,"Baraga County, Michigan",8310
26015,"Barry County, Michigan",63808
26017,"Bay County, Michigan",102500
26019,"Benzie County, Michigan",18441
26021,"Berrien County, Michigan",152261
26023,"Branch County, Michigan",45215
26025,"Calhoun County, Michigan",133366
26027,"Cass County, Michigan",51642
26029,"Charlevoix County, Michigan",26159
26031,"Cheboygan County, Michigan",26048
26033,"Chippewa County, Michigan",36264
26035,"Clare County, Michigan",31316
26037,"Clinton County, Michigan",79720
26039,"Crawford County, Michigan",13538
26041,"Delta County, Michigan",36790
26043,"Dickinson County, Michigan",25982
26045,"Eaton County, Michigan",108820
26047,"Emmet County, Michigan",34123
26049,"Genesee County, Michigan",401522
26051,"Gladwin County, Michigan",25853
26053,"Gogebic County, Michigan",14224
26055,"Grand Traverse County, Michigan",96421
26057,"Gratiot County, Michigan",41368
26059,"Hillsdale County, Michigan",45587
26061,"Houghton County, Michigan",37599
26063,"Huron County, Michigan",30927
26065,"Ingham County, Michigan",284637
26067,"Ionia County, Michigan",66262
26069,"Iosco County, Michigan",25373
26071,"Iron County, Michigan",11740
26073,"Isabella County, Michigan",64118
26075,"Jackson County, Michigan",159424
26077,"Kalamazoo County, Michigan",262215
26079,"Kalkaska County, Michigan",18490
26081,"Kent County, Michigan",661354
26083,"Keweenaw County, Michigan",2172
26085,"Lake County, Michigan",12734
26087,"Lapeer County, Michigan",88977
26089,"Leelanau County, Michigan",23019
26091,"Lenawee County, Michigan",97520
26093,"Livingston County, Michigan",196757
26095,"Luce County, Michigan",6435
26097,"Mackinac County, Michigan",10851
26099,"Macomb County, Michigan",875101
26101,"Manistee County, Michigan",25562
26103,"Marquette County, Michigan",66999
26105,"Mason County, Michigan",29159
26107,"Mecosta County, Michigan",41099
26109,"Menominee County, Michigan",22945
26111,"Midland County, Michigan",84039
26113,"Missaukee County, Michigan",15311
26115,"Monroe County, Michigan",155045
26117,"Montcalm County, Michigan",68154
26119,"Montmorency County, Michigan",9678
26121,"Muskegon County, Michigan",176564
26123,"Newaygo County, Michigan",51108
26125,"Oakland County, Michigan",1270426
26127,"Oceana County, Michigan",26981
26129,"Ogemaw County, Michigan",20990
26131,"Ontonagon County, Michigan",5906
26133,"Osceola County, Michigan",23330
26135,"Oscoda County, Michigan",8545
26137,"Otsego County, Michigan",25747
26139,"Ottawa County, Michigan",303372
26141,"Presque Isle County, Michigan",13285
26143,"Roscommon County, Michigan",23863
26145,"Saginaw County, Michigan",187782
26147,"St. Clair County, Michigan",159874
26149,"St. Joseph County, Michigan",60878
26151,"Sanilac County, Michigan",40368
26153,"Schoolcraft County, Michigan",8149
26155,"Shiawassee County, Michigan",68025
26157,"Tuscola County, Michigan",52826
26159,"Van Buren County, Michigan",75798
26161,"Washtenaw County, Michigan",365536
26163,"Wayne County, Michigan",1751169
26165,"Wexford County, Michigan",34122
27001,"Aitkin County, Minnesota",16102
27003,"Anoka County, Minnesota",372441
27005,"Becker County, Minnesota",35283
27007,"Beltrami County, Minnesota",46718
27009,"Benton County, Minnesota",41600
27011,"Big Stone County, Minnesota",5105
27013,"Blue Earth County, Minnesota",70006
27015,"Brown County, Minnesota",25628
27017,"Carlton County, Minnesota",36825
27019,"Carver County, Minnesota",111057
27021,"Cass County, Minnesota",31446
27023,"Chippewa County, Minnesota",12172
27025,"Chisago County, Minnesota",58535
27027,"Clay County, Minnesota",66258
27029,"Clearwater County, Minnesota",8644
27031,"Cook County, Minnesota",5639
27033,"Cottonwood County, Minnesota",11319
27035,"Crow Wing County, Minnesota",68304
27037,"Dakota County, Minnesota",447440
27039,"Dodge County, Minnesota",21088
27041,"Douglas County, Minnesota",39953
27043,"Faribault County, Minnesota",13873
27045,"Fillmore County, Minnesota",21522
27047,"Freeborn County, Minnesota",30515
27049,"Goodhue County, Minnesota",48035
27051,"Grant County, Minnesota",6139
27053,"Hennepin County, Minnesota",1258713
27055,"Houston County, Minnesota",18582
27057,"Hubbard County, Minnesota",22132
27059,"Isanti County, Minnesota",43182
27061,"Itasca County, Minnesota",45365
27063,"Jackson County, Minnesota",9919
27065,"Kanabec County, Minnesota",16602
27067,"Kandiyohi County, Minnesota",43813
27069,"Kittson County, Minnesota",4060
27071,"Koochiching County, Minnesota",11751
27073,"Lac qui Parle County, Minnesota",6630
27075,"Lake County, Minnesota",10855
27077,"Lake of the Woods County, Minnesota",3778
27079,"Le Sueur County, Minnesota",29255
27081,"Lincoln County, Minnesota",5521
27083,"Lyon County, Minnesota",25427
27085,"McLeod County, Minnesota",36785
27087,"Mahnomen County, Minnesota",5280
27089,"Marshall County, Minnesota",8810
27091,"Martin County, Minnesota",19657
27093,"Meeker County, Minnesota",23490
27095,"Mille Lacs County, Minnesota",27427
27097,"Morrison County, Minnesota",34250
27099,"Mower County, Minnesota",40058
27101,"Murray County, Minnesota",8049
27103,"Nicollet County, Minnesota",34242
27105,"Nobles County, Minnesota",21727
27107,"Norman County, Minnesota",6329
27109,"Olmsted County, Minnesota",164784
27111,"Otter Tail County, Minnesota",60626
27113,"Pennington County, Minnesota",13714
27115,"Pine County, Minnesota",30197
27117,"Pipestone County, Minnesota",9245
27119,"Polk County, Minnesota",30412
27121,"Pope County, Minnesota",11400
27123,"Ramsey County, Minnesota",536075
27125,"Red Lake County, Minnesota",3911
27127,"Redwood County, Minnesota",15288
27129,"Renville County, Minnesota",14348
27131,"Rice County, Minnesota",67948
27133,"Rock County, Minnesota",9551
27135,"Roseau County, Minnesota",15252
27137,"St. Louis County, Minnesota",200514
27139,"Scott County, Minnesota",155814
27141,"Sherburne County, Minnesota",102206
27143,"Sibley County, Minnesota",15084
27145,"Stearns County, Minnesota",160977
27147,"Steele County, Minnesota",37421
27149,"Stevens County, Minnesota",9728
27151,"Swift County, Minnesota",9719
27153,"Todd County, Minnesota",25667
27155,"Traverse County, Minnesota",3136
27157,"Wabasha County, Minnesota",21683
27159,"Wadena County, Minnesota",14241
27161,"Waseca County, Minnesota",18981
27163,"Washington County, Minnesota",278936
27165,"Watonwan County, Minnesota",11077
27167,"Wilkin County, Minnesota",6306
27169,"Winona County, Minnesota",49721
27171,"Wright County, Minnesota",151150
27173,"Yellow Medicine County, Minnesota",9467
28001,"Adams County, Mississippi",28746
28003,"Alcorn County, Mississippi",34135
28005,"Amite County, Mississippi",12442
28007,"Attala County, Mississippi",17359
28009,"Benton County, Mississippi",7438
28011,"Bolivar County, Mississippi",28968
28013,"Calhoun County, Mississippi",12685
28015,"Carroll County, Mississippi",9535
28017,"Chickasaw County, Mississippi",16866
28019,"Choctaw County, Mississippi",8088
28021,"Claiborne County, Mississippi",8617
28023,"Clarke County, Mississippi",15228
28025,"Clay County, Mississippi",18206
28027,"Coahoma County, Mississippi",20077
28029,"Copiah County, Mississippi",27664
28031,"Covington County, Mississippi",18059
28033,"DeSoto County, Mississippi",193247
28035,"Forrest County, Mississippi",78208
28037,"Franklin County, Mississippi",7610
28039,"George County, Mississippi",25619
28041,"Greene County, Mississippi",13601
28043,"Grenada County, Mississippi",21065
28045,"Hancock County, Mississippi",46159
28047,"Harrison County, Mississippi",210612
28049,"Hinds County, Mississippi",214870
28051,"Holmes County, Mississippi",15777
28053,"Humphreys County, Mississippi",7216
28055,"Issaquena County, Mississippi",1256
28057,"Itawamba County, Mississippi",24093
28059,"Jackson County, Mississippi",146389
28061,"Jasper County, Mississippi",16013
28063,"Jefferson County, Mississippi",6941
28065,"Jefferson Davis County, Mississippi",10969
28067,"Jones County, Mississippi",66250
28069,"Kemper County, Mississippi",8584
28071,"Lafayette County, Mississippi",58467
28073,"Lamar County, Mississippi",66217
28075,"Lauderdale County, Mississippi",70527
28077,"Lawrence County, Mississippi",11741
28079,"Leake County, Mississippi",21258
28081,"Lee County, Mississippi",82799
28083,"Leflore County, Mississippi",26378
28085,"Lincoln County, Mississippi",34702
28087,"Lowndes County, Mississippi",57283
28089,"Madison County, Mississippi",112511
28091,"Marion County, Mississippi",24224
28093,"Marshall County, Mississippi",34123
28095,"Monroe County, Mississippi",33609
28097,"Montgomery County, Mississippi",9600
28099,"Neshoba County, Mississippi",28789
28101,"Newton County, Mississippi",21019
28103,"Noxubee County, Mississippi",9914
28105,"Oktibbeha County, Mississippi",51203
28107,"Panola County, Mississippi",32669
28109,"Pearl River County, Mississippi",57978
28111,"Perry County, Mississippi",11315
28113,"Pike County, Mississippi",39394
28115,"Pontotoc County, Mississippi",31535
28117,"Prentiss County, Mississippi",25135
28119,"Quitman County, Mississippi",5546
28121,"Rankin County, Mississippi",160417
28123,"Scott County, Mississippi",27507
28125,"Sharkey County, Mississippi",3336
28127,"Simpson County, Mississippi",25715
28129,"Smith County, Mississippi",14099
28131,"Stone County, Mississippi",18756
28133,"Sunflower County, Mississippi",24468
28135,"Tallahatchie County, Mississippi",11837
28137,"Tate County, Mississippi",28261
28139,"Tippah County, Mississippi",21287
28141,"Tishomingo County, Mississippi",18507
28143,"Tunica County, Mississippi",9234
28145,"Union County, Mississippi",28284
28147,"Walthall County, Mississippi",13863
28149,"Warren County, Mississippi",42298
28151,"Washington County, Mississippi",41946
28153,"Wayne County, Mississippi",19703
28155,"Webster County, Mississippi",9988
28157,"Wilkinson County, Mississippi",8058
28159,"Winston County, Mississippi",17416
28161,"Yalobusha County, Mississippi",12386
28163,"Yazoo County, Mississippi",25796
29001,"Adair County, Missouri",25122
29003,"Andrew County, Missouri",18127
29005,"Atchison County, Missouri",5107
29007,"Audrain County, Missouri",24394
29009,"Barry County, Missouri",35265
29011,"Barton County, Missouri",11731
29013,"Bates County, Missouri",16242
29015,"Benton County, Missouri",20552
29017,"Bollinger County, Missouri",10544
29019,"Boone County, Missouri",189463
29021,"Buchanan County, Missouri",82956
29023,"Butler County, Missouri",41948
29025,"Caldwell County, Missouri",8955
29027,"Callaway County, Missouri",44731
29029,"Camden County, Missouri",44044
29031,"Cape Girardeau County, Missouri",82984
29033,"Carroll County, Missouri",8391
29035,"Carter County, Missouri",5303
29037,"Cass County, Missouri",111732
29039,"Cedar County, Missouri",14672
29041,"Chariton County, Missouri",7399
29043,"Christian County, Missouri",94422
29045,"Clark County, Missouri",6641
29047,"Clay County, Missouri",259772
29049,"Clinton County, Missouri",21548
29051,"Cole County, Missouri",77278
